Var1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
A,,,,,,,,,,,,,,,,,,,,,,,,,
B,,,,,,,,,,,,,,,,,,,,,,,,,
C,,,,,,,,,,,,,,,,,,,,,,,,,
D,,,,,,,,,,Ammars Fur Trade,KingdomOfCamelot,,,,,,,,,Jel,,,,,
E,,,,,Calydon,Calydon,,,The Triad,Wary Women,KingdomOfCamelot,,Shadowklan,,,,Kythari Enclave,,,,501st Legion,,,,
F,,,,Calydon,Calydon,,,,The Republic,The Republic,The Community,Swords of Aurum,House Hotep,Quintessence,,Blackwater Bay,Ruthless Pirates,The Sylvan,Deaths Honor,,,,,,
G,,,,Calydon,Calydon,,,,The Republic,City of Svaela,Swords of Aurum,Swords of Aurum,Quintessence,Quintessence,,Piety,Ruthless Pirates,Ruthless Pirates,,,,The Pantheon,,,
H,,,,Ghost Republic,Ghost Republic,,The Tentacle,,Lone Survivor,City of Svaela,Swords of Aurum,Log Horizon,,,The Green Folk,The Green Folk,Larina,Black Mamba,Black Mamba,Black Mamba,,The Pantheon,,,
I,,,,Snake Cult,,Lost Crusade,Frostholme,Frostholme,Hand of Mitra,Swords of Aurum,,Log Horizon,,,,,,,,,,,,,
J,,,,Snake Cult,,Lost Crusade,Frostholme,Frostholme,Hand of Mitra,Styrke og Stal,Styrke og Stal,Log Horizon,,,,,,,,,,,,,
K,,,White Walkers,White Walkers,Covenant Ascent,Lost Crusade,Lost Crusade,Frostholme,Hand of Mitra,Styrke og Stal,Styrke og Stal,Log Horizon,,,,,,,,,,,,,
L,,,,Sun Yee On,Covenant Ascent,Lost Crusade,Lost Crusade,DB Trading Co,,Hand of Mitra,The Elkenborn,Talon,,,,,,,,,,,,,
M,,,Covenant Ascent,Covenant Ascent,Covenant Ascent,Covenant Ascent,Barons of Crom,Barons of Crom,Barons of Crom,Hand of Mitra,Hand of Mitra,,,,,,,,,,,,,,
N,,,Covenant Ascent,Covenant Ascent,,Grand,Barons of Crom,Barons of Crom,,,,,,,,,,,,,,,,,
O,,,,,Lords of Nord,,,Barons of Crom,,,,,,,,,,,,,,,,,
P,,,,,,,,,,,,,,,,,,,,,,,,,
Q,,,,,,,,,,,,,,,,,,,,,,,,,
R,,,,,,,,,,,,,,,,,,,,,,,,,
S,,,,,,,,,,,,,,,,,,,,,,,,,
T,,,,,,,,,,,,,,,,,,,,,,,,,
